Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount,utc_time,local_time
2024-05-23 22:30:26.076300,2879.498,6.0,,,,,,,23.06418489383693,,,,,,,,,,331.0,0.0,0.0,2024-01-20 23:00:45.453498,2024-01-20 18:00:45.453498
2024-05-23 22:30:27.124625,2880.498,7.0,,,,,,,23.06418489383693,3.50563798828125,,,,,,,,,325.0,0.0,0.0,2024-01-20 23:00:46.501823,2024-01-20 18:00:46.501823
2024-05-23 22:30:28.076225,2881.498,8.0,,,,,,,23.06418489383693,3.50563798828125,55.87030172188544,,,,,,,,329.0,0.0,0.0,2024-01-20 23:00:47.453423,2024-01-20 18:00:47.453423
2024-05-23 22:30:29.046825,2882.498,9.0,,,,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,,,,,,,323.0,0.0,0.0,2024-01-20 23:00:48.424023,2024-01-20 18:00:48.424023
2024-05-23 22:30:30.058925,2883.498,10.0,,,,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,,,,,,314.0,0.0,0.0,2024-01-20 23:00:49.436123,2024-01-20 18:00:49.436123
2024-05-23 22:30:31.047350,2884.498,11.0,,,,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,0.0,,,,,309.0,0.0,0.0,2024-01-20 23:00:50.424548,2024-01-20 18:00:50.424548
2024-05-23 22:30:32.086550,2885.498,0.0,22.698691406250006,,,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,0.0,,,,,317.0,0.0,0.0,2024-01-20 23:00:51.463748,2024-01-20 18:00:51.463748
2024-05-23 22:30:33.072800,2886.498,1.0,22.698691406250006,-268.48299316406246,,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,0.0,,,,,329.0,0.0,0.0,2024-01-20 23:00:52.449998,2024-01-20 18:00:52.449998
2024-05-23 22:30:34.077925,2887.498,2.0,22.698691406250006,-268.48299316406246,22.588520507812504,,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,0.0,,,,,321.0,0.0,0.0,2024-01-20 23:00:53.455123,2024-01-20 18:00:53.455123
2024-05-23 22:30:35.084350,2888.498,3.0,22.698691406250006,-268.48299316406246,22.588520507812504,24.461425781250014,,,23.06418489383693,3.50563798828125,55.87030172188544,0.0,15.0,0.0,,,,,320.0,0.0,0.0,2024-01-20 23:00:54.461548,2024-01-20 18:00:54.461548
