Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount,utc_time,local_time
2024-05-23 22:18:43.046975,2176.498,11.0,,,,,,,,,,,,0.0,,,,,25.0,0.0,0.0,2024-01-20 22:57:42.430998,2024-01-20 17:57:42.430998
2024-05-23 22:18:44.039075,2177.498,0.0,22.698691406250006,,,,,,,,,,,0.0,,,,,27.0,0.0,0.0,2024-01-20 22:57:43.423098,2024-01-20 17:57:43.423098
2024-05-23 22:18:45.047175,2178.498,1.0,22.698691406250006,-268.48299316406246,,,,,,,,,,0.0,,,,,17.0,0.0,0.0,2024-01-20 22:57:44.431198,2024-01-20 17:57:44.431198
2024-05-23 22:18:46.038225,2179.498,2.0,22.698691406250006,-268.48299316406246,22.478349609375,,,,,,,,,0.0,,,,,32.0,0.0,0.0,2024-01-20 22:57:45.422248,2024-01-20 17:57:45.422248
2024-05-23 22:18:47.045950,2180.498,3.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,,,,,,,,0.0,,,,,22.0,0.0,0.0,2024-01-20 22:57:46.429973,2024-01-20 17:57:46.429973
2024-05-23 22:18:48.053725,2181.498,4.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,,,,,,,0.0,,,,,24.0,0.0,0.0,2024-01-20 22:57:47.437748,2024-01-20 17:57:47.437748
2024-05-23 22:18:49.045600,2182.498,5.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,,,,,,0.0,,,,,18.0,0.0,0.0,2024-01-20 22:57:48.429623,2024-01-20 17:57:48.429623
2024-05-23 22:18:50.053400,2183.498,6.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,,,,,0.0,,,,,25.0,0.0,0.0,2024-01-20 22:57:49.437423,2024-01-20 17:57:49.437423
2024-05-23 22:18:51.045625,2184.498,7.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,,,,0.0,,,,,18.0,0.0,0.0,2024-01-20 22:57:50.429648,2024-01-20 17:57:50.429648
2024-05-23 22:18:52.053350,2185.498,8.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,,,0.0,,,,,20.0,0.0,0.0,2024-01-20 22:57:51.437373,2024-01-20 17:57:51.437373
2024-05-23 22:18:53.045425,2186.498,9.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,,0.0,,,,,22.0,0.0,0.0,2024-01-20 22:57:52.429448,2024-01-20 17:57:52.429448
2024-05-23 22:18:54.052900,2187.498,10.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,25.0,0.0,0.0,2024-01-20 22:57:53.436923,2024-01-20 17:57:53.436923
2024-05-23 22:18:55.044725,2188.498,11.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,18.0,0.0,0.0,2024-01-20 22:57:54.428748,2024-01-20 17:57:54.428748
2024-05-23 22:18:56.052450,2189.498,0.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,21.0,0.0,0.0,2024-01-20 22:57:55.436473,2024-01-20 17:57:55.436473
2024-05-23 22:18:57.044575,2190.498,1.0,22.698691406250006,-268.48299316406246,22.478349609375,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,20.0,0.0,0.0,2024-01-20 22:57:56.428598,2024-01-20 17:57:56.428598
2024-05-23 22:18:58.052075,2191.498,2.0,22.698691406250006,-268.48299316406246,22.368178710937503,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,21.0,0.0,0.0,2024-01-20 22:57:57.436098,2024-01-20 17:57:57.436098
2024-05-23 22:18:59.044425,2192.498,3.0,22.698691406250006,-268.48299316406246,22.368178710937503,23.69022949218751,69.10163574218751,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,21.0,0.0,0.0,2024-01-20 22:57:58.428448,2024-01-20 17:57:58.428448
2024-05-23 22:19:00.051800,2193.498,4.0,22.698691406250006,-268.48299316406246,22.368178710937503,23.69022949218751,68.8568115234375,2.6055417480468748,22.943528998056074,3.50563798828125,55.74748020746238,0.0,15.0,0.0,,,,,24.0,0.0,0.0,2024-01-20 22:57:59.435823,2024-01-20 17:57:59.435823
