Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time,x_val,x_val_lin,x_mcp,x_mcp_lin,x_deg,x_deg_lin,v1_shift,v3_shift,y_val,y_val_lin,y_mcp,y_mcp_lin,y_deg,y_deg_lin,v4_shift,v2_shift
2024-05-23 22:03:42.104100+00:00,1275.566,False,2.11418,1.893356,1.807973,1.960078,2024-01-20 22:57:41.524573000,2024-01-20 17:57:41.524573000,0.3914048008461145,0.46349006374209767,-11.986352893537708,-6.324055493058231,-15.203494844159085,-8.333240664910653,1.0541800000000001,0.6779729999999997,0.4888276620783068,0.5302102523681417,-5.9047871437489965,-2.654184676482467,-7.8487950677487826,-3.904730740798726,0.8400779999999999,0.803356
2024-05-23 22:03:42.152025+00:00,1275.611,False,2.02804,1.727067,1.814928,1.966069,2024-01-20 22:57:41.572498000,2024-01-20 17:57:41.572498000,0.41436252849419947,0.4765374007809868,-10.183023386780635,-5.299187168653492,-13.01545504262717,-7.089733764632903,0.9680399999999998,0.6849279999999998,0.42954051415379296,0.47392238605931547,-10.561792613219557,-7.075596575040765,-13.499295037373063,-9.269377177716128,0.846069,0.6370669999999998
2024-05-23 22:03:42.167950+00:00,1275.623,False,2.162242,1.980253,1.941831,2.047457,2024-01-20 22:57:41.588423000,2024-01-20 17:57:41.588423000,0.42413795085140427,0.4959425693740681,-9.415163960622198,-3.774911175666953,-12.083785605554935,-5.24027889314257,1.102242,0.8118309999999997,0.48976624434040633,0.5348694001578931,-5.8310615070610785,-2.288208617597494,-7.759341295234108,-3.4606797893516257,0.927457,0.890253
2024-05-23 22:03:42.184250+00:00,1275.64,False,2.263668,2.072383,1.932535,2.075138,2024-01-20 22:57:41.604723000,2024-01-20 17:57:41.604723000,0.4000268168276091,0.4749477479736648,-11.309093538191307,-5.424054396668634,-14.381753493005453,-7.241239334624609,1.203668,0.8025349999999996,0.5070308915361433,0.549276722744307,-4.474923469835937,-1.1565134284346765,-6.113893810067603,-2.0875562931674074,0.9551379999999998,0.9823829999999998
2024-05-23 22:03:42.184275+00:00,1275.647,False,2.069285,2.016334,1.960698,1.939077,2024-01-20 22:57:41.604748000,2024-01-20 17:57:41.604748000,0.451470475542437,0.5295507842078733,-7.268194146141575,-1.1349859004715577,-9.478795563985111,-2.0371695592388233,1.0092849999999998,0.8306979999999997,0.5307254279937506,0.5786740341760136,-2.6137176310908896,1.1526453845258722,-3.855630725723613,0.7142230665580583,0.8190769999999998,0.926334
2024-05-23 22:03:42.488175+00:00,1275.951,False,2.351529,2.136145,2.040572,2.177184,2024-01-20 22:57:41.908648000,2024-01-20 17:57:41.908648000,0.41350146973276874,0.4866797592461862,-10.250659552491017,-4.502504911212075,-13.097520257022435,-6.123092625603984,1.2915290000000001,0.9105719999999997,0.4973758266062989,0.5412185339349539,-5.233328820075215,-1.7894841594093673,-7.034092301691261,-2.8555607800833656,1.057184,1.0461449999999999
2024-05-23 22:03:42.712000+00:00,1276.174,False,2.724182,2.548597,2.476504,2.570562,2024-01-20 22:57:42.132473000,2024-01-20 17:57:42.132473000,0.447241592115551,0.5206228328019357,-7.600372939323473,-1.8362764834079566,-9.881839166379146,-2.8880687998683205,1.6641819999999998,1.3465039999999995,0.5013809833013596,0.5490389580293064,-4.918723761678199,-1.1751898467979813,-6.652371497502881,-2.1102170141148835,1.4505619999999997,1.458597
2024-05-23 22:03:42.920025+00:00,1276.379,False,2.163825,1.964485,1.860718,2.029555,2024-01-20 22:57:42.340498000,2024-01-20 17:57:42.340498000,0.39831064194188953,0.47052231399221733,-11.44389907546458,-5.771672235911331,-14.545317544897024,-7.663015646239081,1.103825,0.7307179999999998,0.49017118450258956,0.5323312678748533,-5.799253457321585,-2.4875789084302693,-7.720747528216857,-3.7025824088953936,0.9095550000000001,0.874485
2024-05-23 22:03:42.967950+00:00,1276.422,False,2.297614,2.18221,2.288387,2.303054,2024-01-20 22:57:42.388423001,2024-01-20 17:57:42.388423001,0.483466826599822,0.5529105261963061,-4.754880770583986,0.6999218327198408,-6.42930866830857,0.18918515703340674,1.2376139999999998,1.1583869999999998,0.48003660234592554,0.5319576225292597,-6.595324885727544,-2.5169287503266453,-8.686647528016087,-3.7381935503963297,1.1830539999999998,1.09221
2024-05-23 22:03:43.239950+00:00,1276.693,False,2.061022,1.723624,1.565046,1.883647,2024-01-20 22:57:42.660423000,2024-01-20 17:57:42.660423000,0.30294247904695304,0.37046826644162,-18.93506827086184,-13.630917671010751,-23.634602835312368,-17.198900107493046,1.0010219999999999,0.4350459999999996,0.45347251893154583,0.48501358838042957,-8.68193363792707,-6.204382632717253,-11.218399480684845,-8.212304261030265,0.763647,0.633624
2024-05-23 22:03:43.335925+00:00,1276.795,False,2.003664,1.787867,1.717495,1.849976,2024-01-20 22:57:42.756398000,2024-01-20 17:57:42.756398000,0.3836930064088705,0.45586862602133127,-12.592114346583225,-6.922719426024432,-15.938485407187645,-9.059619570242976,0.9436640000000001,0.5874949999999997,0.48875611674392777,0.5292611844963919,-5.910407029764469,-2.72873395780841,-7.855613862780889,-3.9951838688075374,0.729976,0.697867
2024-05-23 22:03:43.463875+00:00,1276.913,False,1.971371,1.616483,1.706685,1.868498,2024-01-20 22:57:42.884348000,2024-01-20 17:57:42.884348000,0.3875425387216609,0.44738105117911076,-12.28973358341354,-7.589418429880853,-15.571596747875095,-9.868547694922103,0.9113709999999999,0.5766849999999997,0.41293399666347963,0.4543704049166381,-11.86623456208367,-8.611404693798072,-15.082017935328187,-11.132824361808327,0.7484979999999999,0.5264829999999998
