epoch_utc,ra_rad,dec_rad
1740902460.0,3.5109160673546658,-0.19328044277926515
1740902520.0,3.5110791645615,-0.19336306610887913
1740902580.0,3.5112422671825207,-0.19344568244711954
1740902640.0,3.511405375218443,-0.19352829179273492
1740902700.0,3.5115684886699645,-0.19361089414448443
1740902760.0,3.511731607537801,-0.19369348950111132
1740902820.0,3.511894731822651,-0.19377607786136603
1740902880.0,3.5120578615252307,-0.19385865922399187
1740902940.0,3.512220996646219,-0.19394123358774093
1740903000.0,3.5123841371863325,-0.19402380095134789
1740903060.0,3.512547283146287,-0.1941063613135613
1740903120.0,3.512710434526763,-0.19418891467311583
1740903180.0,3.512873591328493,-0.19427146102875306
1740903240.0,3.5130367535521763,-0.19435400037920766
1740903300.0,3.5131999211985097,-0.19443653272321776
1740903360.0,3.513363094268192,-0.19451905805951272
1740903420.0,3.5135262727619394,-0.1946015763868272
1740903480.0,3.5136894566804835,-0.19468408770389065
1740903540.0,3.513852646024489,-0.1947665920094324
1740903600.0,3.514015840794705,-0.1948490893021784
1740903660.0,3.5141790409917957,-0.19493157958085625
1740903720.0,3.5143422466165113,-0.19501406284418843
1740903780.0,3.5145054576695327,-0.19509653909089733
1740903840.0,3.5146686741515922,-0.19517900831970192
1740903900.0,3.5148318960633715,-0.19526147052932455
1740903960.0,3.514995123405603,-0.19534392571848244
1740904020.0,3.515158356178967,-0.19542637388588927
1740904080.0,3.5153215943842153,-0.1955088150302605
1740904140.0,3.5154848380220276,-0.19559124915030981
1740904200.0,3.515648087093119,-0.1956736762447491
1740904260.0,3.515811341598224,-0.1957560963122852
1740904320.0,3.515974601538022,-0.19583850935162997
1740904380.0,3.5161378669132297,-0.19592091536148662
1740904440.0,3.5163011377245788,-0.19600331434056187
1740904500.0,3.516464413972769,-0.196085706287559
1740904560.0,3.5166276956584968,-0.19616809120117942
1740904620.0,3.516790982782514,-0.19625046908012636
1740904680.0,3.5169542753454826,-0.19633283992309436
1740904740.0,3.517117573348172,-0.19641520372878307
1740904800.0,3.5172808767912445,-0.1964975604958888
1740904860.0,3.5174441856754504,-0.19657991022310428
1740904920.0,3.5176075000014886,-0.19666225290912223
1740904980.0,3.5177708197700737,-0.19674458855263544
1740905040.0,3.5179341449819224,-0.19682691715232964
1740905100.0,3.518097475637732,-0.19690923870689758
1740905160.0,3.5182608117382537,-0.19699155321502507
