TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time,x_val,v1_shift,v3_shift,y_val,v4_shift,v2_shift,x_val_lin,x_mcp,x_mcp_lin,x_mcp_nln,y_val_lin,y_mcp,y_mcp_lin,y_mcp_nln
74.999,True,1.06611,1.099988,1.138685,1.129734,2024-01-20 22:57:41.810098,2024-01-20 17:57:41.810098,-0.2742440041710678,0.006109999999999838,-0.0013150000000001771,0.04316546762627278,-0.00026600000000032153,-1.2000000000123023e-05,-0.26557396606176503,-64.27306652763738,-63.59203503415165,-63.553517358284616,0.011662082715423058,-40.91155251795627,-43.38614340270352,-43.45367082091157
75.999,True,1.065835,1.099988,1.138547,1.129734,2024-01-20 22:57:42.801573,2024-01-20 17:57:42.801573,-0.33158375171158977,0.005835000000000035,-0.0014530000000001486,0.04316546762627278,-0.00026600000000032153,-1.2000000000123023e-05,-0.3221556821398013,-68.77710369694537,-68.03652883208139,-67.99801115621435,0.005133952457934632,-40.91155251795627,-43.898928034429225,-43.96645545263728
76.999,True,1.065903,1.100125,1.138754,1.129734,2024-01-20 22:57:43.809623,2024-01-20 17:57:43.809623,-0.26755421945460683,0.005902999999999992,-0.0012460000000000804,-0.8865248226920869,-0.00026600000000032153,0.00012499999999993072,-0.4096196349424427,-63.747583938159366,-74.90682232472888,-74.86830464886184,-0.9112207996550272,-113.93872482246341,-115.8785938129024,-115.94612123111044
77.999,True,1.065903,1.100056,1.138685,1.129803,2024-01-20 22:57:44.801373,2024-01-20 17:57:44.801373,-0.28661726242376423,0.005902999999999992,-0.0013150000000001771,-0.397163120564472,-0.00019700000000044682,5.599999999983396e-05,-0.34913449427078913,-65.24498596338668,-70.15571452497049,-70.11719684910345,-0.42721174411838675,-75.49936312033927,-77.85968250049928,-77.92720991870732
78.999,True,1.065972,1.100401,1.138754,1.129734,2024-01-20 22:57:45.809323,2024-01-20 17:57:45.809323,-0.26364790520527653,0.005971999999999866,-0.0012460000000000804,2.9703703703792885,-0.00026600000000032153,0.0004009999999998737,0.21920633491779712,-63.44074295387447,-25.51254239220704,-25.47402471634,2.921037737853091,189.0203925932931,185.1453143083603,185.07778689015225
79.999,True,1.065835,1.100125,1.138685,1.129871,2024-01-20 22:57:46.801023,2024-01-20 17:57:46.801023,-0.2909292035398714,0.005835000000000035,-0.0013150000000001771,-31.24999999734934,-0.0001290000000002678,0.00012499999999993072,-5.352783119039562,-65.5836889380569,-463.19231400055753,-463.1537963246905,-31.079903537189594,-2498.989699791791,-2485.6286228462427,-2485.696150264451
80.999,True,1.066041,1.100194,1.138685,1.129527,2024-01-20 22:57:47.808873,2024-01-20 17:57:47.808873,-0.2782479898434695,0.006040999999999963,-0.0013150000000001771,-0.695340501789961,-0.0004730000000003898,0.00019399999999980544,-0.3891925263277841,-64.58757960220453,-73.30227294304744,-73.2637552671804,-0.7224972361504999,-98.92119641560144,-101.05435789962176,-101.12188531782981
81.999,True,1.065903,1.100056,1.138685,1.129596,2024-01-20 22:57:48.800723,2024-01-20 17:57:48.800723,-0.28661726242376423,0.005902999999999992,-0.0013150000000001771,-0.16091954022919566,-0.000404000000000293,5.599999999983396e-05,-0.31085358451326095,-65.24498596338668,-67.14874906351665,-67.1102313876496,-0.19250445578603076,-56.942429885003314,-59.42342500199271,-59.49095242020076
82.999,True,1.065903,1.100263,1.138823,1.129665,2024-01-20 22:57:49.808623,2024-01-20 17:57:49.808623,-0.24904782056713054,0.005902999999999992,-0.0011770000000002057,-3.652777777750236,-0.0003350000000004183,0.0002629999999999022,-0.8396015194858812,-62.2939063055481,-108.68189935561597,-108.64338167974893,-3.657377858233094,-331.22789444228107,-331.5892307642095,-331.65675818241755
83.999,True,1.065835,1.099919,1.138616,1.129734,2024-01-20 22:57:50.800498,2024-01-20 17:57:50.800498,-0.31094136149181245,0.005835000000000035,-0.0013840000000000519,0.23342939481245883,-0.00026600000000032153,-8.099999999999774e-05,-0.2709558175574799,-67.15564394518186,-64.01477946914005,-63.97626179327302,0.19651072945215056,-25.966321037481354,-28.86628220153357,-28.93380961974162
